fixture,phi,N,replicates,median_null_minus_observed,sign_error_rate
recovery_pulses,0.0,6,24,0.09790942431470648,0.0
recovery_pulses,0.0,10,24,0.21965763765845198,0.0
recovery_pulses,0.0,14,24,0.17724149136433626,0.0
recovery_pulses,0.3,6,24,0.15597630914927008,1.0
recovery_pulses,0.3,10,24,0.24186211099626678,1.0
recovery_pulses,0.3,14,24,0.20848908512580325,1.0
recovery_pulses,0.6,6,24,0.16003532245666377,1.0
recovery_pulses,0.6,10,24,0.27968212913455115,1.0
recovery_pulses,0.6,14,24,0.25000309518975256,1.0
recovery_pulses,0.8,6,24,0.1075772745122971,1.0
recovery_pulses,0.8,10,24,0.24769156974735979,1.0
recovery_pulses,0.8,14,24,0.2793612371907804,1.0
recovery_pulses,0.92,6,24,0.007297313365726088,0.6666666666666666
recovery_pulses,0.92,10,24,0.11212534537291569,1.0
recovery_pulses,0.92,14,24,0.20406339851990707,1.0
recovery_pulses,0.95,6,24,-0.007028464703991433,0.375
recovery_pulses,0.95,10,24,0.05104053348664128,0.9166666666666666
recovery_pulses,0.95,14,24,0.12944428630494487,1.0
