station,N,phase,registered_v021_phase,observed_score,null_median,signed_effect,lower_tail_local_p,month_boundary_crossings,trailing_days_dropped,status
Changping,8,5,False,0.05495468427737793,0.26376351714689106,-0.20880883286951313,0.0078125,40,0,POST_HOC_DIAGNOSTIC_ONLY
Changping,8,6,False,0.079482245336338,0.271639785612313,-0.19215754027597498,0.0078125,42,7,POST_HOC_DIAGNOSTIC_ONLY
Changping,8,7,False,0.14001004036869116,0.2611126281307817,-0.12110258776209051,0.0390625,41,6,POST_HOC_DIAGNOSTIC_ONLY
Dingling,8,0,True,0.1791568875894824,0.2799898605351979,-0.10083297294571553,0.0625,42,5,REGISTERED
Dingling,8,1,False,0.1686098305725655,0.2829484890813217,-0.11433865850875619,0.0390625,41,4,POST_HOC_DIAGNOSTIC_ONLY
Dingling,8,2,False,0.14912683192804937,0.27770850522381146,-0.1285816732957621,0.0234375,39,3,POST_HOC_DIAGNOSTIC_ONLY
Dingling,8,3,False,0.07014229815935616,0.2829462213919636,-0.21280392323260747,0.0078125,42,2,POST_HOC_DIAGNOSTIC_ONLY
Dingling,8,4,False,0.10827106134367284,0.28035187156059227,-0.17208081021691943,0.0078125,42,1,POST_HOC_DIAGNOSTIC_ONLY
Dingling,8,5,False,0.049819038956194966,0.2686509067526875,-0.21883186779649252,0.0078125,40,0,POST_HOC_DIAGNOSTIC_ONLY
Dingling,8,6,False,0.0022948754266325653,0.27874078229326993,-0.27644590686663734,0.0078125,42,7,POST_HOC_DIAGNOSTIC_ONLY
Dingling,8,7,False,0.12546825245045137,0.2793921653748166,-0.15392391292436522,0.0078125,41,6,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,8,0,True,0.18777808964249582,0.31581444174452344,-0.12803635210202763,0.0390625,42,5,REGISTERED
Dongsi,8,1,False,0.18917860094357514,0.31146120760198226,-0.12228260665840712,0.046875,41,4,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,8,2,False,0.21130860637364726,0.30560346297607555,-0.09429485660242828,0.078125,39,3,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,8,3,False,0.16898721116237905,0.30671054505319456,-0.1377233338908155,0.0234375,42,2,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,8,4,False,0.13519512146250576,0.30150754654865514,-0.16631242508614938,0.0078125,42,1,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,8,5,False,0.1417642341816987,0.29787370728995566,-0.15610947310825696,0.0078125,40,0,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,8,6,False,0.11669825881417693,0.3077971742238295,-0.19109891540965257,0.0078125,42,7,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,8,7,False,0.16000727655914893,0.3090292436047516,-0.14902196704560267,0.0390625,41,6,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,8,0,True,0.1793705176113494,0.253668789758734,-0.07429827214738463,0.09375,42,5,REGISTERED
Guanyuan,8,1,False,0.15817472913084143,0.2588698426732714,-0.10069511354242996,0.046875,41,4,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,8,2,False,0.15470023040996145,0.2573375675984469,-0.10263733718848544,0.03125,39,3,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,8,3,False,0.09647289626382113,0.2538098603577245,-0.15733696409390338,0.0078125,42,2,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,8,4,False,0.0991452628018426,0.2632652705986693,-0.16412000779682667,0.0078125,42,1,POST_HOC_DIAGNOSTIC_ONLY
