fixture,phi,N,sample_length,missingness,parent_count,parent_correlation,replicates,upper_tail_detection_rate,sign_error_rate,median_null_minus_observed,status
seasonal_local_shift,0.0,14,1461,fixture-specific,12,0.0,24,0.125,0.0,-0.011007524650748557,FROZEN_FORENSIC_CALIBRATION
seasonal_local_shift,0.3,6,1461,fixture-specific,12,0.0,24,0.0,1.0,0.040742620154365305,FROZEN_FORENSIC_CALIBRATION
seasonal_local_shift,0.3,10,1461,fixture-specific,12,0.0,24,0.0,0.9166666666666666,0.018499763819371517,FROZEN_FORENSIC_CALIBRATION
seasonal_local_shift,0.3,14,1461,fixture-specific,12,0.0,24,0.0,1.0,0.01832855264142097,FROZEN_FORENSIC_CALIBRATION
seasonal_local_shift,0.6,6,1461,fixture-specific,12,0.0,24,0.0,1.0,0.11649575095000847,FROZEN_FORENSIC_CALIBRATION
seasonal_local_shift,0.6,10,1461,fixture-specific,12,0.0,24,0.0,1.0,0.1210539539557306,FROZEN_FORENSIC_CALIBRATION
seasonal_local_shift,0.6,14,1461,fixture-specific,12,0.0,24,0.0,1.0,0.09526130918896647,FROZEN_FORENSIC_CALIBRATION
seasonal_local_shift,0.8,6,1461,fixture-specific,12,0.0,24,0.0,1.0,0.10942513914975643,FROZEN_FORENSIC_CALIBRATION
seasonal_local_shift,0.8,10,1461,fixture-specific,12,0.0,24,0.0,1.0,0.18340997283243426,FROZEN_FORENSIC_CALIBRATION
seasonal_local_shift,0.8,14,1461,fixture-specific,12,0.0,24,0.0,1.0,0.21532259983376167,FROZEN_FORENSIC_CALIBRATION
seasonal_local_shift,0.92,6,1461,fixture-specific,12,0.0,24,0.0,0.75,0.011340989097339604,FROZEN_FORENSIC_CALIBRATION
seasonal_local_shift,0.92,10,1461,fixture-specific,12,0.0,24,0.0,1.0,0.08665702275098519,FROZEN_FORENSIC_CALIBRATION
seasonal_local_shift,0.92,14,1461,fixture-specific,12,0.0,24,0.0,1.0,0.15882257608032857,FROZEN_FORENSIC_CALIBRATION
seasonal_local_shift,0.95,6,1461,fixture-specific,12,0.0,24,0.20833333333333334,0.25,-0.012121560883946114,FROZEN_FORENSIC_CALIBRATION
seasonal_local_shift,0.95,10,1461,fixture-specific,12,0.0,24,0.0,1.0,0.046000674649931295,FROZEN_FORENSIC_CALIBRATION
seasonal_local_shift,0.95,14,1461,fixture-specific,12,0.0,24,0.0,1.0,0.1335330347425136,FROZEN_FORENSIC_CALIBRATION
common_factor_station_noise,-0.9,6,1461,fixture-specific,12,0.7,24,1.0,1.0,-0.627351893658463,FROZEN_FORENSIC_CALIBRATION
common_factor_station_noise,-0.9,10,1461,fixture-specific,12,0.7,24,1.0,1.0,-0.34744084185451485,FROZEN_FORENSIC_CALIBRATION
common_factor_station_noise,-0.9,14,1461,fixture-specific,12,0.7,24,0.0,0.0,0.06323430571154065,FROZEN_FORENSIC_CALIBRATION
common_factor_station_noise,-0.6,6,1461,fixture-specific,12,0.7,24,1.0,1.0,-0.49140850166234246,FROZEN_FORENSIC_CALIBRATION
common_factor_station_noise,-0.6,10,1461,fixture-specific,12,0.7,24,0.6666666666666666,1.0,-0.17199703997990495,FROZEN_FORENSIC_CALIBRATION
common_factor_station_noise,-0.6,14,1461,fixture-specific,12,0.7,24,0.0,0.0,0.2305717832400357,FROZEN_FORENSIC_CALIBRATION
common_factor_station_noise,-0.3,6,1461,fixture-specific,12,0.7,24,1.0,1.0,-0.3892999238574668,FROZEN_FORENSIC_CALIBRATION
common_factor_station_noise,-0.3,10,1461,fixture-specific,12,0.7,24,0.08333333333333333,1.0,-0.08542526804894082,FROZEN_FORENSIC_CALIBRATION
common_factor_station_noise,-0.3,14,1461,fixture-specific,12,0.7,24,0.0,0.0,0.3217749003900797,FROZEN_FORENSIC_CALIBRATION
common_factor_station_noise,0.0,6,1461,fixture-specific,12,0.7,24,1.0,0.0,-0.31175364972635916,FROZEN_FORENSIC_CALIBRATION
common_factor_station_noise,0.0,10,1461,fixture-specific,12,0.7,24,0.0,0.0,0.010496622765059985,FROZEN_FORENSIC_CALIBRATION
