station,N,observed_closure_error,null_median_closure_error,observed_minus_null_median,closure_local_p_less_equal,observed_winner,status
Nongzhanguan,14,1.3824173995528417,1.3837769932451194,-0.001359593692277672,0.4921875,False,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,15,1.3776522698538591,1.3813572167661872,-0.003704946912328033,0.421875,False,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,16,1.41901644860133,1.3891971930252165,0.029819255576113424,0.9765625,False,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,17,1.4259326246794124,1.383919149455482,0.04201347522393051,0.9921875,False,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,18,1.4118655395233508,1.3881461680041447,0.02371937151920611,0.8828125,False,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,19,1.4013142389403768,1.388412523240831,0.01290171569954568,0.7578125,False,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,20,1.4161034924220819,1.3916358546603802,0.024467637761701688,0.9140625,False,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,4,1.4347283888519362,1.3697805858153504,0.06494780303658576,1.0,False,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,5,1.420179256848866,1.37070482930147,0.04947442754739595,1.0,False,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,6,1.4028790138101774,1.3723269884644274,0.030552025345750078,0.9921875,False,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,7,1.3929154264078545,1.368492312843853,0.024423113564001397,0.859375,False,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,8,1.3648411571496504,1.3770660126321572,-0.012224855482506847,0.3046875,False,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,9,1.358678764922144,1.369726330167063,-0.011047565244919122,0.2265625,True,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,10,1.3812388649727458,1.3724204831601157,0.008818381812630172,0.6015625,False,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,11,1.3924389916801594,1.373227344873028,0.019211646807131277,0.8125,False,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,12,1.3935514397970465,1.3726832450276225,0.02086819476942403,0.796875,False,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,13,1.3972186333823284,1.3766658749153489,0.02055275846697957,0.859375,False,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,14,1.3737408962867927,1.376319160376648,-0.0025782640898552867,0.4375,False,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,15,1.3662799277265076,1.3780589563454118,-0.01177902861890412,0.25,False,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,16,1.399857414361732,1.3749636054677588,0.02489380889397319,0.921875,False,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,17,1.4113834567865748,1.3803398763378871,0.031043580448687713,0.953125,False,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,18,1.4153520574929568,1.3803677035322455,0.03498435396071131,0.9453125,False,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,19,1.4063963789854408,1.3778078520584982,0.02858852692694258,0.9140625,False,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,20,1.4063962531633218,1.378503592015355,0.027892661147966846,0.9375,False,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,4,1.4492763651506102,1.3822832001400445,0.06699316501056574,1.0,False,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,5,1.4190270489838708,1.3798827504028013,0.03914429858106949,0.96875,False,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,6,1.4138150831517788,1.3836419482709776,0.0301731348808012,0.984375,False,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,7,1.4115498060033678,1.3820261863787464,0.029523619624621356,0.9453125,False,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,8,1.393160326097854,1.3837360050640781,0.009424321033775884,0.65625,False,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,9,1.3640723405930353,1.381909249479592,-0.017836908886556646,0.1875,True,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,10,1.389209391300241,1.3816296023162418,0.007579788983999247,0.6640625,False,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,11,1.3986692723976675,1.381907006967315,0.01676226543035253,0.8046875,False,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,12,1.3942487850624794,1.3840431964596975,0.010205588602781868,0.6484375,False,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,13,1.3995272771640135,1.3884479592284376,0.011079317935575927,0.71875,False,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,14,1.3850316340453277,1.387808516022905,-0.0027768819775773057,0.453125,False,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,15,1.3746071413165355,1.3861779421527234,-0.011570800836187889,0.25,False,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,16,1.4158337598745794,1.383467701964089,0.0323660579104903,0.953125,False,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,17,1.4172519845536822,1.3853661785372113,0.03188580601647084,0.9609375,False,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,18,1.415866675201851,1.3885324503268073,0.027334224875043667,0.921875,False,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,19,1.410622342166832,1.3878486712753528,0.022773670891479192,0.8671875,False,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,20,1.4196858956834504,1.3853489836702249,0.03433691201322553,0.96875,False,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,4,1.4365837295681392,1.3613208054075776,0.07526292416056157,1.0,False,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,5,1.4057641143210347,1.3654587314395168,0.04030538288151786,0.984375,False,POST_HOC_DIAGNOSTIC_ONLY
