null_family,station,N,observed_score,null_median,null_minus_observed,upper_tail_local_p_32,lower_tail_local_p_32,status
fixed_7d_block_permutation,Dongsi,10,0.12744720086918573,-0.001201939850572028,-0.12864914071975775,0.15625,0.875,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Dongsi,11,0.11464153436251306,0.018230392599223058,-0.09641114176329,0.1875,0.84375,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Dongsi,12,0.1990768341453256,0.007883354474460855,-0.19119347967086475,0.03125,1.0,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Dongsi,13,0.1704582301859155,0.007226417058247214,-0.16323181312766827,0.03125,1.0,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Dongsi,14,0.19664165218621224,-0.022425344342007734,-0.21906699652821998,0.03125,1.0,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Guanyuan,6,0.060597859987225854,0.04004761485308007,-0.020550245134145786,0.375,0.65625,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Guanyuan,7,0.10990165233674856,-0.0047370696471686945,-0.11463872198391725,0.09375,0.9375,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Guanyuan,8,0.1793705176113494,-0.003337795218195785,-0.18270831282954517,0.09375,0.9375,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Guanyuan,9,0.12954156807443548,0.014850157389519518,-0.11469141068491596,0.0625,0.96875,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Guanyuan,10,0.035769713168165934,0.005283457347530776,-0.030486255820635157,0.375,0.65625,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Guanyuan,11,0.023503332655450945,0.010968263366386117,-0.012535069289064829,0.4375,0.59375,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Guanyuan,12,0.13058003202612725,-0.012331911529762462,-0.1429119435558897,0.0625,0.96875,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Guanyuan,13,0.0706912133762627,0.007476591500208063,-0.06321462187605464,0.25,0.78125,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Guanyuan,14,0.0818128734731828,-0.04742794000517259,-0.1292408134783554,0.1875,0.84375,POST_HOC_DIAGNOSTIC_ONLY
