station,condition,N,eligible,observed_score,null_median,null_mad,local_p,robust_z,issue_code
Dongsi,baseline,8,True,0.18777808964249582,0.31581444174452333,0.036950279736020886,0.96875,-2.337176795057444,
Dongsi,baseline,9,True,0.22155679300434367,0.3230317167215412,0.041123412453285935,0.9296875,-1.6643535709394457,
Dongsi,baseline,10,True,0.12744720086918573,0.3330591096644795,0.05096401722651944,1.0,-2.7212009584010066,
Dongsi,baseline,11,True,0.11464153436251306,0.3488267429939473,0.0451515097933774,1.0,-3.498349445031607,
Dongsi,baseline,12,True,0.1990768341453256,0.34849235088737934,0.038982221925113025,0.9921875,-2.5852652924335215,
Dongsi,baseline,13,True,0.1704582301859155,0.35016553365070197,0.04539959279640576,1.0,-2.6698679025828382,
Dongsi,baseline,14,True,0.19664165218621224,0.3482549537508261,0.05527244246141222,0.9765625,-1.850140257334625,
Dongsi,calibration_scale_095,6,True,0.1184709120489818,0.26553701958838594,0.030277663682589884,1.0,-3.276168584452498,
Dongsi,calibration_scale_095,7,True,0.1412603050505837,0.2841976019034473,0.03532259704334087,0.9921875,-2.729411028116773,
Dongsi,calibration_scale_095,8,True,0.1875486477346402,0.31577846163966056,0.036887174845004034,0.96875,-2.344712625235211,
