parent_count,nested_replicates,ICC,effect_size,heterogeneity,missingness,projection_disagreement,multiple_testing_family_size,estimated_rejection_probability,simulation_replicates
4,10,0.9,1.2,0.0,0.0,0.0,1,0.7164,2500
4,10,0.9,1.2,0.4,0.0,0.0,1,0.6492,2500
4,10,0.9,1.2,0.4,0.2,0.15,3,0.3396,2500
4,10,0.9,1.2,0.0,0.2,0.15,6,0.2956,2500
6,1,0.0,0.0,0.0,0.0,0.0,1,0.1236,2500
6,1,0.0,0.0,0.4,0.0,0.0,1,0.1048,2500
6,1,0.0,0.0,0.4,0.2,0.15,3,0.0784,2500
6,1,0.0,0.0,0.0,0.2,0.15,6,0.068,2500
6,1,0.0,0.4,0.0,0.0,0.0,1,0.2248,2500
6,1,0.0,0.4,0.4,0.0,0.0,1,0.2256,2500
6,1,0.0,0.4,0.4,0.2,0.15,3,0.1084,2500
6,1,0.0,0.4,0.0,0.2,0.15,6,0.1048,2500
6,1,0.0,0.8,0.0,0.0,0.0,1,0.5228,2500
6,1,0.0,0.8,0.4,0.0,0.0,1,0.4876,2500
6,1,0.0,0.8,0.4,0.2,0.15,3,0.1972,2500
6,1,0.0,0.8,0.0,0.2,0.15,6,0.1796,2500
6,1,0.0,1.2,0.0,0.0,0.0,1,0.81,2500
6,1,0.0,1.2,0.4,0.0,0.0,1,0.752,2500
6,1,0.0,1.2,0.4,0.2,0.15,3,0.3288,2500
6,1,0.0,1.2,0.0,0.2,0.15,6,0.3064,2500
6,1,0.3,0.0,0.0,0.0,0.0,1,0.11,2500
6,1,0.3,0.0,0.4,0.0,0.0,1,0.1124,2500
6,1,0.3,0.0,0.4,0.2,0.15,3,0.0856,2500
6,1,0.3,0.0,0.0,0.2,0.15,6,0.064,2500
6,1,0.3,0.4,0.0,0.0,0.0,1,0.2392,2500
6,1,0.3,0.4,0.4,0.0,0.0,1,0.2024,2500
6,1,0.3,0.4,0.4,0.2,0.15,3,0.112,2500
